"Name","Country","Age","Height, cm","Weight","Sex","Date of birth","Gold","Silver","Bronze","Total","Sport"
"Lamusi A","People's Republic of China","23","170","60","M","6/2/1989","0","0","0","0","Judo"
"A G Kruger","United States of America","33","193","125","M","2/18/1979","0","0","0","0","Athletics"
"Jamale Aarrass","France","30","187","76","M","11/15/1981","0","0","0","0","Athletics"
"Abdelhak Aatakni","Morocco","24","","","M","2/9/1988","0","0","0","0","Boxing"
"Maria Abakumova","Russian Federation","26","178","85","F","1/15/1986","0","0","0","0","Athletics"
"Luc Abalo","France","27","182","80","M","9/6/1984","0","0","0","0","Handball"
"Maria Laura Abalo","Argentina","30","182","73","F","8/17/1981","0","0","0","0","Rowing"
"Mohamed Abarhoun","Morocco","23","187","75","M","5/3/1989","0","0","0","0","Football"
"Emanuele Abate","Italy","27","190","80","M","7/8/1985","0","0","0","0","Athletics"
"Ilyas Abbadi","Algeria","19","170","","M","10/21/1992","0","0","0","0","Boxing"
"Sohail Abbas","Pakistan","37","","","M","6/9/1975","0","0","0","0","Hockey"
"Shakeel Abbasi","Pakistan","28","","","M","1/5/1984","0","0","0","0","Hockey"
"Soulmaz Abbasiazad","Islamic Republic of Iran","28","173","60","F","1/19/1984","0","0","0","0","Rowing"
"Simona Abbate","Italy","28","171","64","F","8/22/1983","0","0","0","0","Water Polo"
"Ahmed Abd Elgaber","Egypt","22","171","62","M","7/30/1990","0","0","0","0","Football"
"Reem Abdalazem","Egypt","19","167","","F","11/25/1992","0","0","0","0","Synchronised Swimming"
"Mohamed Fawzi Abdalla","United Arab Emirates","22","175","63","M","2/22/1990","0","0","0","0","Football"
"Mohamed Abdel Baki","Egypt","25","162","69","M","7/18/1987","0","0","0","0","Weightlifting"
"Hesham Abdelaal","Egypt","18","167","","M","9/5/1993","0","0","0","0","Boxing"
"Tarek Abdelazim","Egypt","25","175","85","M","5/18/1987","0","0","0","0","Weightlifting"
"Shaza Abdelrahman","Egypt","19","170","","F","12/23/1992","0","0","0","0","Synchronised Swimming"
"Mouni Abderrahim","Algeria","26","171","60","F","11/19/1985","0","0","0","0","Volleyball"
"Youcef Abdi","Australia","34","177","66","M","12/7/1977","0","0","0","0","Athletics"
"Abdihakem Abdirahman","United States of America","35","180","61","M","1/1/1977","0","0","0","0","Athletics"
"Moustapha Abdoulaye Hima","Niger","20","183","","M","1/1/1992","0","0","0","0","Boxing"
"Dana Abdul Razak","Iraq","26","165","55","F","1/3/1986","0","0","0","0","Athletics"
"Magomed Abdulhamidov","Azerbaijan","25","167","","M","11/16/1986","0","0","0","0","Boxing"
"Muminjon Abdullaev","Uzbekistan","22","","","M","12/24/1989","0","0","0","0","Wrestling"
"Layes Abdullayeva","Azerbaijan","21","170","47","F","5/29/1991","0","0","0","0","Athletics"
"Rasul Abduraim","Kyrgyzstan","23","180","","M","12/12/1988","0","0","0","0","Taekwondo"
"Yusup Abdusalomov","Tajikistan","34","173","84","M","11/8/1977","0","0","0","0","Wrestling"
"Saeid Morad Abdvali","Islamic Republic of Iran","22","170","66","M","11/4/1989","0","0","0","0","Wrestling"
"Mojtaba Abedini","Islamic Republic of Iran","27","179","82","M","8/11/1984","0","0","0","0","Fencing"
"Jennifer Abel","Canada","20","160","62","F","8/23/1991","0","0","1","1","Diving"
"Yaritza Abel Rojas","Cuba","28","","62","F","8/26/1983","0","0","0","0","Judo"
"Pablo Abian","Spain","27","177","78","M","6/12/1985","0","0","0","0","Badminton"
"Tomomi Abiko","Japan","24","173","53","F","3/17/1988","0","0","0","0","Athletics"
"Camille Abily","France","27","168","60","F","12/5/1984","0","0","0","0","Football"
"Endurance Abinuwa","Nigeria","25","159","54","F","7/31/1987","0","0","0","0","Athletics"
"Khalil Mahmoud K Abir Abdelrahman","Egypt","20","162","75","F","6/13/1992","0","0","0","0","Weightlifting"
"Denis Ablyazin","Russian Federation","20","161","","M","8/3/1992","0","0","0","0","Gymnastics - Artistic"
"Bukola Abogunloko","Nigeria","17","170","53","F","8/18/1994","0","0","0","0","Athletics"
"Aminata Aboubakar Yacoub","Congo","23","166","68","F","6/22/1989","0","0","0","0","Swimming"
"Rabah Aboud","Algeria","31","180","64","M","1/1/1981","0","0","0","0","Athletics"
"Gabrielle Aboudi Onguene","Cameroon","23","152","58","F","2/25/1989","0","0","0","0","Football"
"Alaaeldin Abouelkassem","Egypt","21","188","82","M","11/25/1990","0","1","0","1","Fencing"
"Abouhalima Abouhalima","Egypt","18","153","55","M","11/19/1993","0","0","0","0","Wrestling"
"Mohamed Aboutrika","Egypt","33","182","77","M","11/7/1978","0","0","0","0","Football"
"Arnaldo Abrantes","Portugal","25","184","78","M","11/27/1986","0","0","0","0","Athletics"
"Amir Abrashi","Switzerland","22","172","70","M","3/27/1990","0","0","0","0","Football"
"Erika Abril","Colombia","34","158","47","F","3/29/1978","0","0","0","0","Athletics"
"Laura Valentina Abril Restrepo","Colombia","22","162","50","F","1/28/1990","0","0","0","0","Cycling - Mountain Bike"
